WorkOrderID,EvalQuestTxt,EvalQuestValTxt,LocationName,City,State,SignDate,JobID,JobCategoryID,ProgramType,CustomerName,PrimaryTechnicianID,DistrictName,WOStatusID,Revenue,Expense,GP,Column1
240501-170,Did Contractors Clean Up All Work Areas?,Yes,AAA Cooper Transportation ACT Madison,Madison,AL,2024-05-07 19:57:16,SXX1023,LBR,LI,AAA Cooper Transportation,PPrice,,HSCHED,0,-109.48,-109.48,
240506-088,Did Contractors Clean Up All Work Areas?,Yes,LOWES 1637,MAPLE SHADE,NJ,2024-05-07 20:05:39,SXX0022,EBR,LOWESE,LOWES COMPANIES,kcombs,District 1,POSTED,245,-101.8,143.2,
240506-088,Overall Performance Was:,Excellent,LOWES 1637,MAPLE SHADE,NJ,2024-05-07 20:05:39,SXX0022,EBR,LOWESE,LOWES COMPANIES,kcombs,District 1,POSTED,245,-101.8,143.2,
240506-088,Was Contractors Quality of Work Satisfactory?,Yes,LOWES 1637,MAPLE SHADE,NJ,2024-05-07 20:05:39,SXX0022,EBR,LOWESE,LOWES COMPANIES,kcombs,District 1,POSTED,245,-101.8,143.2,
240506-088,Did Contractors Employees Cooperate with You?,Yes,LOWES 1637,MAPLE SHADE,NJ,2024-05-07 20:05:39,SXX0022,EBR,LOWESE,LOWES COMPANIES,kcombs,District 1,POSTED,245,-101.8,143.2,
240506-182,Did Contractors Employees Cooperate with You?,Yes,Publix Super Markets 1508,MOODY,AL,2024-05-07 20:05:46,SXX1023,LBR,LI,Publix Super Markets,CArrington,District 3,POSTED,218.46,-203.96,14.5,
240506-182,Overall Performance Was:,Excellent,Publix Super Markets 1508,MOODY,AL,2024-05-07 20:05:46,SXX1023,LBR,LI,Publix Super Markets,CArrington,District 3,POSTED,218.46,-203.96,14.5,
240506-182,Did Contractors Clean Up All Work Areas?,Yes,Publix Super Markets 1508,MOODY,AL,2024-05-07 20:05:46,SXX1023,LBR,LI,Publix Super Markets,CArrington,District 3,POSTED,218.46,-203.96,14.5,
240506-182,Was Contractors Quality of Work Satisfactory?,Yes,Publix Super Markets 1508,MOODY,AL,2024-05-07 20:05:46,SXX1023,LBR,LI,Publix Super Markets,CArrington,District 3,POSTED,218.46,-203.96,14.5,
240503-111,Did Contractors Employees Cooperate with You?,Yes,Best Buy 16,WDM,IA,2024-05-07 20:08:57,SXX0021,EBR,SERVIC,Best Buy,RSantiago,District 8,POSTED,463.83,-391.19,72.64,
240503-111,Was Contractors Quality of Work Satisfactory?,Yes,Best Buy 16,WDM,IA,2024-05-07 20:08:57,SXX0021,EBR,SERVIC,Best Buy,RSantiago,District 8,POSTED,463.83,-391.19,72.64,
240503-111,Did Contractors Clean Up All Work Areas?,Yes,Best Buy 16,WDM,IA,2024-05-07 20:08:57,SXX0021,EBR,SERVIC,Best Buy,RSantiago,District 8,POSTED,463.83,-391.19,72.64,
240503-111,Overall Performance Was:,Excellent,Best Buy 16,WDM,IA,2024-05-07 20:08:57,SXX0021,EBR,SERVIC,Best Buy,RSantiago,District 8,POSTED,463.83,-391.19,72.64,
240506-117,Did Contractors Clean Up All Work Areas?,Yes,AAA Cooper Transportation ACT Madison,Madison,AL,2024-05-07 20:11:32,SXX1023,LBR,LE,AAA Cooper Transportation,PPrice,,POSTED,249,-37.29,211.71,
240506-117,Overall Performance Was:,Excellent,AAA Cooper Transportation ACT Madison,Madison,AL,2024-05-07 20:11:32,SXX1023,LBR,LE,AAA Cooper Transportation,PPrice,,POSTED,249,-37.29,211.71,
240506-117,Did Contractors Employees Cooperate with You?,Yes,AAA Cooper Transportation ACT Madison,Madison,AL,2024-05-07 20:11:32,SXX1023,LBR,LE,AAA Cooper Transportation,PPrice,,POSTED,249,-37.29,211.71,
240506-117,Was Contractors Quality of Work Satisfactory?,Yes,AAA Cooper Transportation ACT Madison,Madison,AL,2024-05-07 20:11:32,SXX1023,LBR,LE,AAA Cooper Transportation,PPrice,,POSTED,249,-37.29,211.71,
240425-031,Was Contractors Quality of Work Satisfactory?,Yes,SAFEWAY 1678,ELDERSBURG,MD,2024-05-07 20:26:54,B240044,ERO,IG001,The InSite Group,LCoursey,,POSTED,1530,-285.39,1244.61,
240425-031,Did Contractors Employees Cooperate with You?,Yes,SAFEWAY 1678,ELDERSBURG,MD,2024-05-07 20:26:54,B240044,ERO,IG001,The InSite Group,LCoursey,,POSTED,1530,-285.39,1244.61,
240425-031,Did Contractors Clean Up All Work Areas?,Yes,SAFEWAY 1678,ELDERSBURG,MD,2024-05-07 20:26:54,B240044,ERO,IG001,The InSite Group,LCoursey,,POSTED,1530,-285.39,1244.61,
240425-031,Overall Performance Was:,Good,SAFEWAY 1678,ELDERSBURG,MD,2024-05-07 20:26:54,B240044,ERO,IG001,The InSite Group,LCoursey,,POSTED,1530,-285.39,1244.61,
240423-231,Did Contractors Clean Up All Work Areas?,Yes,Bank of America IA1-328,DES MOINES,IA,2024-05-07 20:28:43,HXX1600,LRM,GMRLE,Cushman&Wakefield / BOA,KEhrich,District 8,POSTED,384,-216,168,
240423-231,Was Contractors Quality of Work Satisfactory?,Yes,Bank of America IA1-328,DES MOINES,IA,2024-05-07 20:28:43,HXX1600,LRM,GMRLE,Cushman&Wakefield / BOA,KEhrich,District 8,POSTED,384,-216,168,
240423-231,Did Contractors Employees Cooperate with You?,Yes,Bank of America IA1-328,DES MOINES,IA,2024-05-07 20:28:43,HXX1600,LRM,GMRLE,Cushman&Wakefield / BOA,KEhrich,District 8,POSTED,384,-216,168,
240507-033,Overall Performance Was:,Excellent,THE HOME DEPOT 1108,SPARTANBURG,SC,2024-05-07 20:33:34,SXX0023,EBR,SERVIC,HOME DEPOT USA,TMilling,District 3,POSTED,755.09,-653.79,101.3,
240507-033,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 1108,SPARTANBURG,SC,2024-05-07 20:33:34,SXX0023,EBR,SERVIC,HOME DEPOT USA,TMilling,District 3,POSTED,755.09,-653.79,101.3,
240507-033,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 1108,SPARTANBURG,SC,2024-05-07 20:33:34,SXX0023,EBR,SERVIC,HOME DEPOT USA,TMilling,District 3,POSTED,755.09,-653.79,101.3,
240507-033,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 1108,SPARTANBURG,SC,2024-05-07 20:33:34,SXX0023,EBR,SERVIC,HOME DEPOT USA,TMilling,District 3,POSTED,755.09,-653.79,101.3,
240506-108,Did Contractors Clean Up All Work Areas?,Yes,Publix Super Markets 0435,GAINESVILLE,FL,2024-05-07 20:33:43,SXX1020,LBR,LE,Publix Super Markets,EHilton,,POSTED,1226.23,-395.71,830.52,
240506-108,Was Contractors Quality of Work Satisfactory?,Yes,Publix Super Markets 0435,GAINESVILLE,FL,2024-05-07 20:33:43,SXX1020,LBR,LE,Publix Super Markets,EHilton,,POSTED,1226.23,-395.71,830.52,
240506-108,Overall Performance Was:,Excellent,Publix Super Markets 0435,GAINESVILLE,FL,2024-05-07 20:33:43,SXX1020,LBR,LE,Publix Super Markets,EHilton,,POSTED,1226.23,-395.71,830.52,
240506-108,Did Contractors Employees Cooperate with You?,Yes,Publix Super Markets 0435,GAINESVILLE,FL,2024-05-07 20:33:43,SXX1020,LBR,LE,Publix Super Markets,EHilton,,POSTED,1226.23,-395.71,830.52,
240502-158,Overall Performance Was:,Excellent,Publix Super Markets 1225,PACE,FL,2024-05-07 20:34:31,SXX1020,LBR,LI,Publix Super Markets,KFarrior,District 5,POSTED,586.57,-237.9,348.67,
240502-158,Was Contractors Quality of Work Satisfactory?,Yes,Publix Super Markets 1225,PACE,FL,2024-05-07 20:34:31,SXX1020,LBR,LI,Publix Super Markets,KFarrior,District 5,POSTED,586.57,-237.9,348.67,
240502-158,Did Contractors Employees Cooperate with You?,Yes,Publix Super Markets 1225,PACE,FL,2024-05-07 20:34:31,SXX1020,LBR,LI,Publix Super Markets,KFarrior,District 5,POSTED,586.57,-237.9,348.67,
240502-158,Did Contractors Clean Up All Work Areas?,Yes,Publix Super Markets 1225,PACE,FL,2024-05-07 20:34:31,SXX1020,LBR,LI,Publix Super Markets,KFarrior,District 5,POSTED,586.57,-237.9,348.67,
240425-688,Overall Performance Was:,Excellent,Acme 1764,MONTCLAIR,NJ,2024-05-07 20:44:41,B240044,ERO,IG001,The InSite Group,BoMartinez,,POSTED,1540,-432.53,1107.47,
240425-688,Was Contractors Quality of Work Satisfactory?,Yes,Acme 1764,MONTCLAIR,NJ,2024-05-07 20:44:41,B240044,ERO,IG001,The InSite Group,BoMartinez,,POSTED,1540,-432.53,1107.47,
240425-688,Did Contractors Clean Up All Work Areas?,Yes,Acme 1764,MONTCLAIR,NJ,2024-05-07 20:44:41,B240044,ERO,IG001,The InSite Group,BoMartinez,,POSTED,1540,-432.53,1107.47,
240425-688,Did Contractors Employees Cooperate with You?,Yes,Acme 1764,MONTCLAIR,NJ,2024-05-07 20:44:41,B240044,ERO,IG001,The InSite Group,BoMartinez,,POSTED,1540,-432.53,1107.47,
240507-074,Did Contractors Clean Up All Work Areas?,Yes,AMAZON SAT3,SAN ANTONIO,TX,2024-05-07 20:45:56,SXX0024,EBR,S-AMZN,Amazon,ROBJohnson,,POSTED,4380.04,-1759.07,2620.97,
240507-074,Overall Performance Was:,Excellent,AMAZON SAT3,SAN ANTONIO,TX,2024-05-07 20:45:56,SXX0024,EBR,S-AMZN,Amazon,ROBJohnson,,POSTED,4380.04,-1759.07,2620.97,
240507-074,Did Contractors Employees Cooperate with You?,Yes,AMAZON SAT3,SAN ANTONIO,TX,2024-05-07 20:45:56,SXX0024,EBR,S-AMZN,Amazon,ROBJohnson,,POSTED,4380.04,-1759.07,2620.97,
240507-074,Was Contractors Quality of Work Satisfactory?,Yes,AMAZON SAT3,SAN ANTONIO,TX,2024-05-07 20:45:56,SXX0024,EBR,S-AMZN,Amazon,ROBJohnson,,POSTED,4380.04,-1759.07,2620.97,
240503-094,Overall Performance Was:,Excellent,Best Buy 340,MOBILE,AL,2024-05-07 20:56:49,SXX0023,EBR,SERVIC,Best Buy,JAtkins,District 3,POSTED,982,-325.59,656.41,
240503-094,Did Contractors Clean Up All Work Areas?,Yes,Best Buy 340,MOBILE,AL,2024-05-07 20:56:49,SXX0023,EBR,SERVIC,Best Buy,JAtkins,District 3,POSTED,982,-325.59,656.41,
240503-094,Did Contractors Employees Cooperate with You?,Yes,Best Buy 340,MOBILE,AL,2024-05-07 20:56:49,SXX0023,EBR,SERVIC,Best Buy,JAtkins,District 3,POSTED,982,-325.59,656.41,
240503-094,Was Contractors Quality of Work Satisfactory?,Yes,Best Buy 340,MOBILE,AL,2024-05-07 20:56:49,SXX0023,EBR,SERVIC,Best Buy,JAtkins,District 3,POSTED,982,-325.59,656.41,
240507-146,Did Contractors Clean Up All Work Areas?,Yes,Sams Club 6501,Murfreesboro,TN,2024-05-07 21:01:04,SXX1023,LBR,LI,Sams Club,JABrooks,District 3,POSTED,1245.34,-213.49,1031.85,
240507-146,Was Contractors Quality of Work Satisfactory?,Yes,Sams Club 6501,Murfreesboro,TN,2024-05-07 21:01:04,SXX1023,LBR,LI,Sams Club,JABrooks,District 3,POSTED,1245.34,-213.49,1031.85,
240507-146,Overall Performance Was:,Excellent,Sams Club 6501,Murfreesboro,TN,2024-05-07 21:01:04,SXX1023,LBR,LI,Sams Club,JABrooks,District 3,POSTED,1245.34,-213.49,1031.85,
240507-146,Did Contractors Employees Cooperate with You?,Yes,Sams Club 6501,Murfreesboro,TN,2024-05-07 21:01:04,SXX1023,LBR,LI,Sams Club,JABrooks,District 3,POSTED,1245.34,-213.49,1031.85,
240507-123,Did Contractors Employees Cooperate with You?,Yes,TJ MAXX 1081560,Mcalester,OK,2024-05-07 21:04:32,SXX0024,EBR,SERVIC,"THE TJX COMPANIES, INC",JPyle,,POSTED,291.16,-246.96,44.2,
240507-123,Was Contractors Quality of Work Satisfactory?,Yes,TJ MAXX 1081560,Mcalester,OK,2024-05-07 21:04:32,SXX0024,EBR,SERVIC,"THE TJX COMPANIES, INC",JPyle,,POSTED,291.16,-246.96,44.2,
240507-123,Did Contractors Clean Up All Work Areas?,Yes,TJ MAXX 1081560,Mcalester,OK,2024-05-07 21:04:32,SXX0024,EBR,SERVIC,"THE TJX COMPANIES, INC",JPyle,,POSTED,291.16,-246.96,44.2,
240507-123,Overall Performance Was:,Excellent,TJ MAXX 1081560,Mcalester,OK,2024-05-07 21:04:32,SXX0024,EBR,SERVIC,"THE TJX COMPANIES, INC",JPyle,,POSTED,291.16,-246.96,44.2,
240503-105,Was Contractors Quality of Work Satisfactory?,Yes,Ryder 668,WILMINGTON,DE,2024-05-07 21:08:26,SXX0022,EBR,WARR,JLL / Ryder,RLTorres,District 2,PBNTE,0,-112.16,-112.16,
240503-105,Did Contractors Employees Cooperate with You?,Yes,Ryder 668,WILMINGTON,DE,2024-05-07 21:08:26,SXX0022,EBR,WARR,JLL / Ryder,RLTorres,District 2,PBNTE,0,-112.16,-112.16,
240503-105,Did Contractors Clean Up All Work Areas?,Yes,Ryder 668,WILMINGTON,DE,2024-05-07 21:08:26,SXX0022,EBR,WARR,JLL / Ryder,RLTorres,District 2,PBNTE,0,-112.16,-112.16,
240503-105,Overall Performance Was:,Good,Ryder 668,WILMINGTON,DE,2024-05-07 21:08:26,SXX0022,EBR,WARR,JLL / Ryder,RLTorres,District 2,PBNTE,0,-112.16,-112.16,
240507-138,Did Contractors Employees Cooperate with You?,Yes,Starbucks 339,SEATTLE,WA,2024-05-07 21:11:38,SXX0025,EBR,COMPAS,STARBUCKS CORPORATION,JOLewis,District 11,POSTED,615,-128.47,486.53,
240507-138,Did Contractors Clean Up All Work Areas?,Yes,Starbucks 339,SEATTLE,WA,2024-05-07 21:11:38,SXX0025,EBR,COMPAS,STARBUCKS CORPORATION,JOLewis,District 11,POSTED,615,-128.47,486.53,
240507-138,Overall Performance Was:,Excellent,Starbucks 339,SEATTLE,WA,2024-05-07 21:11:38,SXX0025,EBR,COMPAS,STARBUCKS CORPORATION,JOLewis,District 11,POSTED,615,-128.47,486.53,
240507-138,Was Contractors Quality of Work Satisfactory?,Yes,Starbucks 339,SEATTLE,WA,2024-05-07 21:11:38,SXX0025,EBR,COMPAS,STARBUCKS CORPORATION,JOLewis,District 11,POSTED,615,-128.47,486.53,
240507-041,Overall Performance Was:,Excellent,Walmart Supercenter 1871,WATERTOWN,NY,2024-05-07 21:12:22,SXX0022,EBR,SERVIC,WAL-MART STORES,RColman,District 1,POSTED,309.37,-275.31,34.06,
240507-041,Did Contractors Employees Cooperate with You?,Yes,Walmart Supercenter 1871,WATERTOWN,NY,2024-05-07 21:12:22,SXX0022,EBR,SERVIC,WAL-MART STORES,RColman,District 1,POSTED,309.37,-275.31,34.06,
240507-041,Did Contractors Clean Up All Work Areas?,Yes,Walmart Supercenter 1871,WATERTOWN,NY,2024-05-07 21:12:22,SXX0022,EBR,SERVIC,WAL-MART STORES,RColman,District 1,POSTED,309.37,-275.31,34.06,
240507-041,Was Contractors Quality of Work Satisfactory?,Yes,Walmart Supercenter 1871,WATERTOWN,NY,2024-05-07 21:12:22,SXX0022,EBR,SERVIC,WAL-MART STORES,RColman,District 1,POSTED,309.37,-275.31,34.06,
240419-208,Was Contractors Quality of Work Satisfactory?,Yes,Bank of America FL6-803,FT LAUDERDALE,FL,2024-05-07 21:20:30,HXX1600,LRM,GMRREO,JLL / Bank of America,CBrockel,District 6,POSTED,526,-1722.32,-1196.32,
240419-208,Did Contractors Clean Up All Work Areas?,Yes,Bank of America FL6-803,FT LAUDERDALE,FL,2024-05-07 21:20:30,HXX1600,LRM,GMRREO,JLL / Bank of America,CBrockel,District 6,POSTED,526,-1722.32,-1196.32,
240419-208,Did Contractors Employees Cooperate with You?,Yes,Bank of America FL6-803,FT LAUDERDALE,FL,2024-05-07 21:20:30,HXX1600,LRM,GMRREO,JLL / Bank of America,CBrockel,District 6,POSTED,526,-1722.32,-1196.32,
240419-208,Overall Performance Was:,Excellent,Bank of America FL6-803,FT LAUDERDALE,FL,2024-05-07 21:20:30,HXX1600,LRM,GMRREO,JLL / Bank of America,CBrockel,District 6,POSTED,526,-1722.32,-1196.32,
240308-209,Was Contractors Quality of Work Satisfactory?,Yes,Burlington Coat Factory 1509,LAWRENCE,KS,2024-05-07 21:38:17,B240030,ERO,BU003,Vaswani,BFisher,,POSTED,1674,-1369.53,304.47,
240308-209,Did Contractors Employees Cooperate with You?,Yes,Burlington Coat Factory 1509,LAWRENCE,KS,2024-05-07 21:38:17,B240030,ERO,BU003,Vaswani,BFisher,,POSTED,1674,-1369.53,304.47,
240308-209,Overall Performance Was:,Excellent,Burlington Coat Factory 1509,LAWRENCE,KS,2024-05-07 21:38:17,B240030,ERO,BU003,Vaswani,BFisher,,POSTED,1674,-1369.53,304.47,
240308-209,Did Contractors Clean Up All Work Areas?,Yes,Burlington Coat Factory 1509,LAWRENCE,KS,2024-05-07 21:38:17,B240030,ERO,BU003,Vaswani,BFisher,,POSTED,1674,-1369.53,304.47,
240502-143,Overall Performance Was:,Excellent,DICKS SPORTING GOODS 01507,CONCORD,NC,2024-05-07 22:10:28,SXX1023,LBR,EML,Dick's Sporting Goods,SStojda,,POSTED,314.54,-85.84,228.7,
240502-143,Did Contractors Employees Cooperate with You?,Yes,DICKS SPORTING GOODS 01507,CONCORD,NC,2024-05-07 22:10:28,SXX1023,LBR,EML,Dick's Sporting Goods,SStojda,,POSTED,314.54,-85.84,228.7,
240502-143,Was Contractors Quality of Work Satisfactory?,Yes,DICKS SPORTING GOODS 01507,CONCORD,NC,2024-05-07 22:10:28,SXX1023,LBR,EML,Dick's Sporting Goods,SStojda,,POSTED,314.54,-85.84,228.7,
240502-143,Did Contractors Clean Up All Work Areas?,Yes,DICKS SPORTING GOODS 01507,CONCORD,NC,2024-05-07 22:10:28,SXX1023,LBR,EML,Dick's Sporting Goods,SStojda,,POSTED,314.54,-85.84,228.7,
240505-051,Was Contractors Quality of Work Satisfactory?,Yes,Best Buy 688,PALM BCH GDNS,FL,2024-05-07 22:14:06,SXX1020,LBR,LI,Best Buy,JeSanchez,District 6,POSTED,866.5,-292.07,574.43,
240505-051,Overall Performance Was:,Excellent,Best Buy 688,PALM BCH GDNS,FL,2024-05-07 22:14:06,SXX1020,LBR,LI,Best Buy,JeSanchez,District 6,POSTED,866.5,-292.07,574.43,
240505-051,Did Contractors Employees Cooperate with You?,Yes,Best Buy 688,PALM BCH GDNS,FL,2024-05-07 22:14:06,SXX1020,LBR,LI,Best Buy,JeSanchez,District 6,POSTED,866.5,-292.07,574.43,
240505-051,Did Contractors Clean Up All Work Areas?,Yes,Best Buy 688,PALM BCH GDNS,FL,2024-05-07 22:14:06,SXX1020,LBR,LI,Best Buy,JeSanchez,District 6,POSTED,866.5,-292.07,574.43,
240501-161,Overall Performance Was:,Excellent,CSL Plasma 10408,DAYTON,OH,2024-05-07 22:26:40,SXX1021,LBR,LI,EMCOR / CSL Plasma,TFarnum,District 7,HSCHED,0,-358.11,-358.11,
240501-161,Was Contractors Quality of Work Satisfactory?,Yes,CSL Plasma 10408,DAYTON,OH,2024-05-07 22:26:40,SXX1021,LBR,LI,EMCOR / CSL Plasma,TFarnum,District 7,HSCHED,0,-358.11,-358.11,
240501-161,Did Contractors Clean Up All Work Areas?,Yes,CSL Plasma 10408,DAYTON,OH,2024-05-07 22:26:40,SXX1021,LBR,LI,EMCOR / CSL Plasma,TFarnum,District 7,HSCHED,0,-358.11,-358.11,
240501-161,Did Contractors Employees Cooperate with You?,Yes,CSL Plasma 10408,DAYTON,OH,2024-05-07 22:26:40,SXX1021,LBR,LI,EMCOR / CSL Plasma,TFarnum,District 7,HSCHED,0,-358.11,-358.11,
231219-005,Overall Performance Was:,Excellent,Sams Club 6455,Oxnard,CA,2024-05-07 22:37:57,SXX0025,EBR,SERVIC,Sams Club,SHernandez,District 13,POSTED,9777.76,-7554.35,2223.41,
231219-005,Did Contractors Employees Cooperate with You?,Yes,Sams Club 6455,Oxnard,CA,2024-05-07 22:37:57,SXX0025,EBR,SERVIC,Sams Club,SHernandez,District 13,POSTED,9777.76,-7554.35,2223.41,
231219-005,Did Contractors Clean Up All Work Areas?,Yes,Sams Club 6455,Oxnard,CA,2024-05-07 22:37:57,SXX0025,EBR,SERVIC,Sams Club,SHernandez,District 13,POSTED,9777.76,-7554.35,2223.41,
231219-005,Was Contractors Quality of Work Satisfactory?,Yes,Sams Club 6455,Oxnard,CA,2024-05-07 22:37:57,SXX0025,EBR,SERVIC,Sams Club,SHernandez,District 13,POSTED,9777.76,-7554.35,2223.41,
240422-146,Did Contractors Clean Up All Work Areas?,Yes,Walmart Supercenter 3258,EUGENE,OR,2024-05-07 23:07:05,SXX0025,EBR,SERVIC,WAL-MART STORES,JElkin,District 11,POSTED,961.78,-1110.93,-149.15,
240422-146,Overall Performance Was:,Excellent,Walmart Supercenter 3258,EUGENE,OR,2024-05-07 23:07:05,SXX0025,EBR,SERVIC,WAL-MART STORES,JElkin,District 11,POSTED,961.78,-1110.93,-149.15,
240422-146,Was Contractors Quality of Work Satisfactory?,Yes,Walmart Supercenter 3258,EUGENE,OR,2024-05-07 23:07:05,SXX0025,EBR,SERVIC,WAL-MART STORES,JElkin,District 11,POSTED,961.78,-1110.93,-149.15,
240422-146,Did Contractors Employees Cooperate with You?,Yes,Walmart Supercenter 3258,EUGENE,OR,2024-05-07 23:07:05,SXX0025,EBR,SERVIC,WAL-MART STORES,JElkin,District 11,POSTED,961.78,-1110.93,-149.15,
240425-674,Overall Performance Was:,Excellent,SAFEWAY 1417,GREAT FALLS,VA,2024-05-07 23:22:02,B240044,ERO,IG001,The InSite Group,DVann,,POSTED,1530,-245.47,1284.53,
240425-674,Did Contractors Clean Up All Work Areas?,Yes,SAFEWAY 1417,GREAT FALLS,VA,2024-05-07 23:22:02,B240044,ERO,IG001,The InSite Group,DVann,,POSTED,1530,-245.47,1284.53,
240425-674,Was Contractors Quality of Work Satisfactory?,Yes,SAFEWAY 1417,GREAT FALLS,VA,2024-05-07 23:22:02,B240044,ERO,IG001,The InSite Group,DVann,,POSTED,1530,-245.47,1284.53,
240425-674,Did Contractors Employees Cooperate with You?,Yes,SAFEWAY 1417,GREAT FALLS,VA,2024-05-07 23:22:02,B240044,ERO,IG001,The InSite Group,DVann,,POSTED,1530,-245.47,1284.53,
240506-102,Overall Performance Was:,Good,THE HOME DEPOT 2844,MAPLE GROVE,MN,2024-05-07 23:26:04,SXX0021,EBR,SERVIC,HOME DEPOT USA,LHandel,District 8,POSTED,244.25,-176.35,67.9,
240506-102,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 2844,MAPLE GROVE,MN,2024-05-07 23:26:04,SXX0021,EBR,SERVIC,HOME DEPOT USA,LHandel,District 8,POSTED,244.25,-176.35,67.9,
240506-102,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 2844,MAPLE GROVE,MN,2024-05-07 23:26:04,SXX0021,EBR,SERVIC,HOME DEPOT USA,LHandel,District 8,POSTED,244.25,-176.35,67.9,
240506-102,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 2844,MAPLE GROVE,MN,2024-05-07 23:26:04,SXX0021,EBR,SERVIC,HOME DEPOT USA,LHandel,District 8,POSTED,244.25,-176.35,67.9,
240507-267,Overall Performance Was:,Excellent,THE HOME DEPOT 8562,BONNEY LAKE,WA,2024-05-08 00:00:30,SXX0025,EBR,SERVIC,HOME DEPOT USA,JOLewis,District 11,POSTED,89,-324.76,-235.76,
240507-267,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 8562,BONNEY LAKE,WA,2024-05-08 00:00:30,SXX0025,EBR,SERVIC,HOME DEPOT USA,JOLewis,District 11,POSTED,89,-324.76,-235.76,
240507-267,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 8562,BONNEY LAKE,WA,2024-05-08 00:00:30,SXX0025,EBR,SERVIC,HOME DEPOT USA,JOLewis,District 11,POSTED,89,-324.76,-235.76,
240507-267,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 8562,BONNEY LAKE,WA,2024-05-08 00:00:30,SXX0025,EBR,SERVIC,HOME DEPOT USA,JOLewis,District 11,POSTED,89,-324.76,-235.76,
240506-112,Overall Performance Was:,,Publix Super Markets 0695,W MELBOURNE,FL,2024-05-08 00:52:00,SXX1020,LBR,LI,Publix Super Markets,BKustigian,,POSTED,181.5,-54.97,126.53,
240505-056,Overall Performance Was:,,Publix Super Markets 1827,Jefferson,GA,2024-05-08 00:54:23,SXX1023,LBR,LI,Publix Super Markets,TCone,District 4,POSTED,244.37,-127.32,117.05,
240503-177,Overall Performance Was:,,Publix Super Markets 1844,OCALA,FL,2024-05-08 01:11:53,SXX1020,LBR,LI,Publix Super Markets,JuGonzalez,,POSTED,315.38,-354.06,-38.68,
240503-074,Overall Performance Was:,,Publix Super Markets 0760,COCOA,FL,2024-05-08 01:39:30,SXX1020,LBR,LI,Publix Super Markets,BKustigian,,POSTED,219.75,-80.66,139.09,
240506-205,Did Contractors Employees Cooperate with You?,Yes,LOWES 1667,QUAKERTOWN,PA,2024-05-08 01:41:55,SXX0022,EBR,SERVIC,LOWES COMPANIES,SRosen,District 2,POSTED,873.4,-646.89,226.51,
240506-205,Overall Performance Was:,Excellent,LOWES 1667,QUAKERTOWN,PA,2024-05-08 01:41:55,SXX0022,EBR,SERVIC,LOWES COMPANIES,SRosen,District 2,POSTED,873.4,-646.89,226.51,
240506-205,Was Contractors Quality of Work Satisfactory?,Yes,LOWES 1667,QUAKERTOWN,PA,2024-05-08 01:41:55,SXX0022,EBR,SERVIC,LOWES COMPANIES,SRosen,District 2,POSTED,873.4,-646.89,226.51,
240506-205,Did Contractors Clean Up All Work Areas?,Yes,LOWES 1667,QUAKERTOWN,PA,2024-05-08 01:41:55,SXX0022,EBR,SERVIC,LOWES COMPANIES,SRosen,District 2,POSTED,873.4,-646.89,226.51,
240503-132,Was Contractors Quality of Work Satisfactory?,Yes,Walmart Supercenter 2158,NORTHBOROUGH,MA,2024-05-08 02:10:41,B240044,ERO,IG001,The InSite Group,SDTilley,,POSTED,4046,-3122.88,923.12,
240503-132,Did Contractors Clean Up All Work Areas?,Yes,Walmart Supercenter 2158,NORTHBOROUGH,MA,2024-05-08 02:10:41,B240044,ERO,IG001,The InSite Group,SDTilley,,POSTED,4046,-3122.88,923.12,
240503-132,Overall Performance Was:,Excellent,Walmart Supercenter 2158,NORTHBOROUGH,MA,2024-05-08 02:10:41,B240044,ERO,IG001,The InSite Group,SDTilley,,POSTED,4046,-3122.88,923.12,
240503-132,Did Contractors Employees Cooperate with You?,Yes,Walmart Supercenter 2158,NORTHBOROUGH,MA,2024-05-08 02:10:41,B240044,ERO,IG001,The InSite Group,SDTilley,,POSTED,4046,-3122.88,923.12,
240501-168,Overall Performance Was:,,Publix Super Markets 0472,CHARLESTON,SC,2024-05-08 02:38:46,SXX1023,LBR,LI,Publix Super Markets,MKeeney,,POSTED,845.15,-225.94,619.21,
240418-316,Overall Performance Was:,,Publix Super Markets 0067,COLUMBIA,SC,2024-05-08 03:29:36,SXX1023,LBR,LI,Publix Super Markets,MKeeney,District 3,POSTED,181.5,-26.12,155.38,
240504-379,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 6679,Mira Mesa,CA,2024-05-08 03:44:34,SXX0025,EBR,HDFER,HOME DEPOT USA,JVankirk,District 13,POSTED,160.5,-75.76,84.74,
240504-379,Overall Performance Was:,Excellent,THE HOME DEPOT 6679,Mira Mesa,CA,2024-05-08 03:44:34,SXX0025,EBR,HDFER,HOME DEPOT USA,JVankirk,District 13,POSTED,160.5,-75.76,84.74,
